Project,D-UA2,D-UA,D-DA,D-FE,D-DE,D-WH,D-BH,D-RH,D-UH,I-LM,I-CM,I-LPL,I-LS,I-ECB,I-MN,I-MD,I-CC,D-BM,D-IM,D-CDM,D-CH,D-MH,I-LI,I-VMCC,D-HM,D-IA,I-DC,D-MA,D-UE,D-MH2
Blog.Core,134,92,17,4,14,2,15,5,1,9,19,27,59,15,66,3,1,53,10,1,0,0,0,0,0,0,0,0,0,0
NETworkManager,9,0,4,0,0,0,0,0,0,0,0,0,7,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PixiEditor,7,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seal-Report,31,41,14,10,84,3,15,13,7,40,65,42,113,21,71,7,21,13,31,140,5,3,16,4,11,1,1,4,18,12
Terminal.Gui,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boletonet,15,13,32,1,2,6,8,61,22,29,75,40,62,0,108,23,10,8,25,82,2,71,7,0,1,0,4,0,0,0
drywetmidi,51,48,30,5,0,6,20,11,19,2,34,45,67,0,79,45,4,21,19,130,1,1,28,3,5,1,0,1,11,0
fo-dicom,44,16,19,5,14,8,21,69,16,10,47,29,50,20,82,8,10,1,13,71,5,1,15,0,5,1,2,1,5,1
greenshot,26,69,39,21,31,9,11,15,12,35,58,41,116,17,125,22,18,25,14,91,3,4,15,2,3,1,0,1,0,0
mpv.net,19,4,4,0,1,0,0,3,0,1,1,2,13,0,12,8,0,1,1,5,0,0,3,0,0,0,0,0,0,0
