Smell,% in projects,% in smelly files/modules,% of total smells
Magic Number,90.0,32.02,53.1
Long Statement,90.0,28.74,16.42
Long Identifier,70.0,4.99,8.27
Cyclically-dependent Modularization,70.0,30.5,4.37
Complex Method,70.0,17.54,2.77
Long Parameter List,70.0,13.26,2.28
Unutilized Abstraction,100.0,19.82,1.39
Unnecessary Abstraction,70.0,16.6,1.38
Deficient Encapsulation,60.0,8.56,1.26
Duplicate Abstraction,90.0,9.38,1.14
Missing Default,90.0,6.98,0.88
Insufficient Modularization,70.0,6.63,0.84
Rebellious Hierarchy,70.0,10.38,0.76
Unfactored Hierarchy,60.0,4.52,0.75
Long Method,70.0,7.39,0.69
Complex Conditional,60.0,3.75,0.65
Broken Modularization,70.0,7.16,0.58
Empty Catch Block,40.0,4.28,0.5
Unexploited Encapsulation,30.0,1.99,0.44
Broken Hierarchy,60.0,5.28,0.34
Multipath Hierarchy,50.0,4.69,0.3
Feature Envy,60.0,2.7,0.25
Wide Hierarchy,60.0,1.99,0.13
Cyclic Hierarchy,50.0,0.94,0.13
Missing Hierarchy,20.0,0.76,0.11
Hub-like Modularization,50.0,1.47,0.09
Duplicate Code,30.0,0.41,0.07
Virtual Method Call from Constructor,30.0,0.53,0.04
Multifaceted Abstraction,40.0,0.41,0.04
Imperative Abstraction,40.0,0.23,0.01
Deep Hierarchy,0.0,0.0,0.0
