Group,Metric,Project,Mean,Median,Std Dev,Min,Max,Total
Smelly,Change Frequency,Blog.Core,8.41263940520446,4.0,11.845089031962978,1,134,4526
Non-Smelly,Change Frequency,Blog.Core,4.862903225806452,3.0,6.007633972046898,1,60,1809
Smelly,Churn,Blog.Core,316.6003717472119,105.0,631.1733672420678,0,6950,170331
Non-Smelly,Churn,Blog.Core,125.09946236559139,49.5,220.69991163798585,0,1993,46537
Smelly,Change Frequency,NETworkManager,6.688697318007663,2.0,14.181937475341957,1,249,6983
Non-Smelly,Change Frequency,NETworkManager,4.4625592417061615,3.0,6.828772639285792,1,105,4708
Smelly,Churn,NETworkManager,237.661877394636,35.0,852.5990503144179,0,16400,248119
Non-Smelly,Churn,NETworkManager,231.73744075829384,51.0,1386.2736936037863,0,30638,244483
Smelly,Change Frequency,PixiEditor,5.124161073825503,1.0,10.72360783378926,1,168,4581
Non-Smelly,Change Frequency,PixiEditor,6.30491452991453,3.0,9.316590819267264,1,123,29507
Smelly,Churn,PixiEditor,138.84787472035794,29.0,388.71915797253087,0,7195,124130
Non-Smelly,Churn,PixiEditor,175.23311965811965,48.0,437.44556029661726,0,8361,820091
Smelly,Change Frequency,Seal-Report,9.906605922551252,4.0,18.3762783137387,1,156,4349
Non-Smelly,Change Frequency,Seal-Report,4.641304347826087,2.0,9.347463508533199,1,144,1708
Smelly,Churn,Seal-Report,334.23234624145783,100.0,778.0092531241295,0,7018,146728
Non-Smelly,Churn,Seal-Report,310.51358695652175,74.5,797.198285297906,0,6804,114269
Smelly,Change Frequency,Terminal.Gui,19.815677966101696,11.0,29.563310163438075,1,339,9353
Non-Smelly,Change Frequency,Terminal.Gui,29.127719962157048,13.0,41.64805369653405,1,319,30788
Smelly,Churn,Terminal.Gui,1346.2563559322034,372.0,2809.4434949918236,0,30684,635433
Non-Smelly,Churn,Terminal.Gui,3121.573320719016,678.0,7998.87278603232,0,124433,3299503
Smelly,Change Frequency,boletonet,6.0963302752293576,3.0,9.905306743278274,1,75,1329
Non-Smelly,Change Frequency,boletonet,11.571884984025559,8.0,12.851049117586717,2,95,3622
Smelly,Churn,boletonet,811.1605504587156,315.5,1735.5602999463679,2,14601,176833
Non-Smelly,Churn,boletonet,2109.3897763578275,706.0,4847.8952743615655,0,47648,660239
Smelly,Change Frequency,drywetmidi,4.628787878787879,3.0,5.983640675421381,1,86,5499
Non-Smelly,Change Frequency,drywetmidi,2.5718730553827007,2.0,2.26641633477942,1,26,4133
Smelly,Churn,drywetmidi,173.21801346801348,62.0,334.5766233290582,0,3645,205783
Non-Smelly,Churn,drywetmidi,118.41257000622278,32.0,325.2641052256577,0,5750,190289
Smelly,Change Frequency,fo-dicom,8.798136645962733,6.5,11.536119338826653,1,151,5666
Non-Smelly,Change Frequency,fo-dicom,7.319976771196283,5.0,7.783558589161319,1,95,12605
Smelly,Churn,fo-dicom,307.4503105590062,71.0,932.9905040113383,0,15571,197998
Non-Smelly,Churn,fo-dicom,443.9889663182346,130.0,1681.8454192953125,0,43996,764549
Smelly,Change Frequency,greenshot,9.561074918566776,3.0,15.27366280142801,1,168,11741
Non-Smelly,Change Frequency,greenshot,3.6137270550678373,1.0,6.007918356881154,1,67,4528
Smelly,Churn,greenshot,425.80781758957653,149.5,1061.5415597155018,0,22211,522892
Non-Smelly,Churn,greenshot,101.877893056664,15.0,388.84476677701394,0,8546,127653
Smelly,Change Frequency,mpv.net,8.878205128205128,3.0,16.126653133052127,1,110,1385
Non-Smelly,Change Frequency,mpv.net,3.6134453781512605,2.0,7.135351160282735,1,87,860
Smelly,Churn,mpv.net,230.03205128205127,59.5,434.08070336125724,0,2605,35885
Non-Smelly,Churn,mpv.net,123.78571428571429,34.5,302.2205587384339,0,2683,29461
