Project,Smelly_Flag,Churn_DFC_Mean,Churn_DFC_Median,Churn_DFC_Std,Churn_DIC_Mean,Churn_DIC_Median,Churn_DIC_Std,Defect_Propagation_Time_Mean,Defect_Propagation_Time_Median,Defect_Propagation_Time_Std
Blog.Core,0,28.17,8.0,63.35,57.42,38.0,66.6,377.86,252.0,415.13
Blog.Core,1,30.81,16.0,55.12,83.41,49.5,98.62,462.8,343.0,448.79
boletonet,0,39.5,25.0,45.38,475.25,71.0,831.08,647.0,647.0,816.0
boletonet,1,45.97,10.0,197.12,585.03,197.5,837.63,947.77,842.0,750.56
drywetmidi,0,26.31,8.0,56.27,86.8,42.0,131.27,366.96,111.0,527.31
drywetmidi,1,32.21,12.0,58.79,106.24,62.0,184.32,513.84,286.0,570.48
fo-dicom,0,63.05,18.0,130.16,583.25,96.0,1961.08,274.58,134.0,387.0
fo-dicom,1,67.65,19.0,408.61,262.52,82.5,614.75,424.13,269.0,465.89
greenshot,0,25.98,2.0,145.45,250.44,98.0,423.35,1340.78,897.0,1228.05
greenshot,1,43.07,10.0,106.02,221.68,105.0,357.4,957.66,504.5,1024.85
mpv.net,0,20.27,8.0,26.17,284.15,72.0,410.89,209.3,55.0,293.5
mpv.net,1,21.89,11.0,32.62,87.44,56.0,98.71,319.58,154.0,373.29
NETworkManager,0,104.13,23.0,282.11,373.0,85.5,906.75,595.28,208.0,692.98
NETworkManager,1,209.61,24.0,571.52,221.27,67.0,587.88,614.04,385.5,606.08
PixiEditor,0,23.07,9.0,38.45,80.14,46.0,109.04,160.35,52.5,227.97
PixiEditor,1,39.19,14.0,88.42,90.84,47.0,142.43,141.66,75.0,164.76
Seal-Report,0,3.61,4.0,0.92,90.78,36.0,161.63,365.39,295.0,259.8
Seal-Report,1,15.42,7.0,17.15,393.89,125.0,512.02,598.74,396.0,530.09
Terminal.Gui,0,97.53,20.0,499.59,670.61,166.0,1495.34,204.38,60.0,329.23
Terminal.Gui,1,110.28,27.0,280.89,228.34,104.0,374.29,381.99,230.0,407.55
