Smell A,Smell B,Chi2,p-value,Cramér's V
Unutilized Abstraction,Unnecessary Abstraction,77.230112510901,1.5215592362396297e-18,0.2615449643727671
Unutilized Abstraction,Broken Hierarchy,8.587974699252374,0.0033839014996543053,0.08721645034642009
Unutilized Abstraction,Magic Number,0.8968699784457115,0.34362237368506154,0.028184982690922657
Unutilized Abstraction,Long Statement,12.180230748897307,0.0004829866914040827,0.10386776507084619
Unutilized Abstraction,Wide Hierarchy,2.5570816193268056,0.10980110709335177,0.047591054113610955
Unutilized Abstraction,Empty Catch Block,3.5789620466510788,0.058515702630395204,0.05630300511507063
Unnecessary Abstraction,Broken Hierarchy,0.038357265763101264,0.8447274870269641,0.005828769076633315
Unnecessary Abstraction,Magic Number,80.0691743144799,3.615287707125512e-19,0.26630891429673553
Unnecessary Abstraction,Long Statement,107.48357380908377,3.487842603627986e-25,0.30854895376994507
Unnecessary Abstraction,Wide Hierarchy,0.02355074865550357,0.8780335355853439,0.004567256344743931
Unnecessary Abstraction,Empty Catch Block,5.367191465316303,0.02051899046796533,0.06894877795639043
Broken Hierarchy,Magic Number,9.34489107579506,0.0022360794301321133,0.09097878881360374
Broken Hierarchy,Long Statement,1.0437549917053621,0.3069497654619044,0.030405511360366094
Broken Hierarchy,Wide Hierarchy,0.0,1.0,0.0
Broken Hierarchy,Empty Catch Block,1.2535513848262745,0.2628752644750644,0.033321465946875475
Magic Number,Long Statement,172.2160833702451,2.4275582352760654e-39,0.3905619074059876
Magic Number,Wide Hierarchy,0.0,1.0,0.0
Magic Number,Empty Catch Block,21.393057747892236,3.741233899851438e-06,0.13765419809517643
Long Statement,Wide Hierarchy,0.0,1.0,0.0
Long Statement,Empty Catch Block,15.44251222121034,8.505325316175966e-05,0.11695317217978478
Wide Hierarchy,Empty Catch Block,0.0,1.0,0.0
